Job,Company,Location,Publication date,Company's rate
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Business analyst si maintenance industrielle,Servier,Bolbec (76),2,"['3,8']"
Business analyst si maintenance industrielle,Servier,Bolbec (76),2,"['3,8']"
Business analyst si maintenance industrielle,Servier,Bolbec (76),2,"['3,8']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Consultant data scientist,Eversa,Puteaux (92),2,Not specified
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Business analyst si maintenance industrielle,Servier,Bolbec (76),2,"['3,8']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Data analyste,Not specified,"Fed It
 - 69 - Bron",2,Not specified
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Consultant data analyste power bi confirmé,Not specified,France,2,Not specified
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Ingénieur développement data,Omniciel,Marseille (13),2,Not specified
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Business analyst si maintenance industrielle,Servier,Bolbec (76),2,"['3,8']"
Business analyst si maintenance industrielle,Servier,Bolbec (76),2,"['3,8']"
Consultant fonctionnel junior,Orange,Rennes (35),2,"['4,1']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Ingénieur développement data,Omniciel,Marseille (13),2,Not specified
Business analyst si maintenance industrielle,Servier,Bolbec (76),2,"['3,8']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Analyste financier -,La Banque De France,Lille (59),2,"['4,1']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Business analyst si maintenance industrielle,Servier,Bolbec (76),2,"['3,8']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
