,CommonName,Locomotion
278,Toque_Macaque,AR
279,Barbary_Macaque,BOTH & T
281,Tibetan_Macaque,T
282,Tonkean_Macaque,BOTH
284,Drill,BOTH
285,Mandrill,T
286,Rio_Acarí_Marmoset,AR
287,Silvery_Marmoset,AR
288,Golden_white_Tassel_ear_Marmoset,AR
289,Snethlage_s_Marmoset,AR
290,Santarém_Marmoset,AR
292,Rio_Aripuanã_Marmoset,AR
293,Golden_white_Bare_ear_Marmoset,AR
294,Marca_s_Marmoset,AR
295,Maués_Marmoset,AR
296,Black_tailed_Marmoset,AR
297,Black_headed_Marmoset,AR
298,Rondon_s_Marmoset,AR
299,Sateré_Marmoset,AR
300,Montagne_d_Ambre_Mouse_Lemur,AR
301,Madame_Berthe_s_Mouse_Lemur,AR
302,Bongolava_Mouse_Lemur,AR
303, Nosy_Boraha_Mouse_Lemur,
304,Ambarijeby_Mouse_Lemur,AR
305,Ganzhorn's_Mouse_Lemur,
306,Gerp_s_Mouse_Lemur,AR
307,Gray_brown_Mouse_Lemur,AR
308,Jolly_s_Mouse_Lemur,AR
309,Goodman_s_Mouse_Lemur,AR
310,Anjiahely_Mouse_Lemur,AR
311,Nosy_Be_Mouse_Lemur,AR
312,Bemanasy_Mouse_Lemur,
313,Margot_Marsh_s_Mouse_Lemur,AR
314,Marohita_Mouse_Lemur,
315,Mittermeier_s_Mouse_Lemur,AR
316,Gray_Mouse_Lemur,AR
317,Peters_s_Mouse_Lemur,AR
318,Golden_brown_Mouse_Lemur,AR
319,Rufous_Mouse_Lemur,AR
320,Sambirano_Mouse_Lemur,AR
321,Simmons_s_Mouse_Lemur,AR
322,Anosi_Mouse_lemur,
323,Tavaratra_Mouse_Lemur,AR
324,Northern_Talapoin_Monkey,BOTH
326,Southern_Talapoin_Monkey,BOTH
328,Coquerel_s_Giant_Mouse_Lemur,AR
329,Northern_Giant_Mouse_Lemur,AR
330,Proboscis_Monkey,AR
331,Northern_Yellow_cheeked_Crested_Gibbon,AR
332,Western_Black_Crested_Gibbon,AR
333,Southern_Yellow_cheeked_Crested_Gibbon,AR
334,Hainan_Crested_Gibbon,AR
335,Northern_White_cheeked_Crested_Gibbon,AR
336,Eastern_Black_Crested_Gibbon,AR
337,Southern_White_cheeked_Crested_Gibbon,AR
338,Bangka_Slow_Loris,AR
339,Bengal_Slow_Loris,AR
340,Bornean_Slow_Loris,AR
341,Sunda_Slow_Loris,AR
342,Javan_Slow_Loris,AR
343,Kayan_River_Slow_Loris,AR
344,Philippine_Slow_Loris,AR
345,Pygmy_Slow_Loris,AR
346,Thick_tailed_Greater_Galago,AR
347,Garnett_s_Greater_Galago,AR
348,Bonobo,BOTH
349,Chimpanzee,BOTH
350,Olive_Baboon,BOTH
352,Yellow_Baboon,T
354,Hamadryas_Baboon,T
355,Kinda_Baboon,T
356,Guinea_Baboon,BOTH & T
358,Chacma_Baboon,T
364,Milne_Edwards_s_Potto,AR
365,East_African_Potto,AR
366,West_African_Potto,AR
367,Montagne_D__Ambre_Fork_marked_Lemur,AR
369,Pale_Fork_marked_Lemur,AR
370,Sambirano_Fork_marked_Lemur,AR
371,Upper_Guinea_Red_Colobus,AR
372,Bouvier_s_Red_Colobus,AR
373,Niger_Delta_Red_Colobus,AR
374,Foa_s_Red_Colobus,AR
375,Udzungwa_Red_Colobus,AR
376,Zanzibar_Red_Colobus,AR
377,Lang_s_Red_Colobus,AR
379,Oustalet_s_Red_Colobus,AR
380,Lomami_Red_Colobus,AR
381,Pennant_s_Red_Colobus,AR
382,Preuss_s_Red_Colobus,AR
383,Tana_River_Red_Colobus,AR
384,Semliki_Red_Colobus,AR
385,Temminick_s_Red_Colobus,BOTH
387,Ashy_Red_Colobus,AR
388,Tshuapa_Red_Colobus,AR
389,Miss_Waldron_s_Red_Colobus,AR
390,Equatorial_Saki,AR
391,Buffy_Saki,AR
392,Cazuza_s_Saki,AR
393,Golden_faced_Saki,AR
394,Hairy_Saki,AR
395,Burnished_Saki,AR
396,Gray_s_Bald_faced_Saki,AR
397,Isabel_s_Saki,AR
398,Miller_s_Saki,AR
399,Mittermeier_s_Tapajós_Saki,AR
400,Monk_Saki,AR
401,Napo_Saki,AR
402,Pissinatti_s_Bald_faced_Saki,AR
403,White_faced_saki,AR
404,Rylands__Bald_faced_Saki,AR
405,Vanzolinis_Bald_faced_Saki,AR
406,Madidi_Titi,AR
407,Lake_Baptista_Titi,AR
408,Prince_Bernhard_s_Titi,AR
409,Brown_Titi,AR
410,Chestnut_bellied_Titi,AR
411,Caquetá_Titi,AR
412,Ashy_Titi,AR
413,Coppery_Titi,AR
414,Red_crowned_Titi,AR
415,White_eared_Titi,AR
416,Hoffmann_s_Titi,AR
417,Milton´s_titi_monkey,AR
418,Rio_Beni_Titi,AR
419,Red_bellied_Titi,AR
420,San_Martín_Titi,AR
421,Olalla_s_Titi,AR
422,Ornate_Titi,AR
423,Pale_Titi,AR
424,Stephen_Nash_s_Titi,AR
425,Toppins_Titi,AR
426,Urubamba_Brown_Titi,AR
427,Vieira_s_Titi,AR
428,Sumatran_Orangutan,AR
429,Bornean_Orangutan,AR
430,Tapanuli_Orangutan,
431,Black_and_white_Langur,AR
432,Miller_s_Langur,AR
433,Cross_marked_Langur,AR
434,Javan_Langur,AR
435,Banded_Langur,AR
436,White_fronted_Langur,AR
437,Hose_s_Langur,AR
438,Black_crested_Sumatran_Langur,AR
439,Mitered_Langur,AR
440,Natuna_Islands_Langur,AR
441,Mentawai_Langur,AR
442,Maroon_Langur,AR
443,Sabah_Grizzled_Langur,AR
444,Pale_thighed_Langur,AR
445,Siberut_Langur,AR
446,Black_Sumatran_Langur,AR
447,Thomas_s_Langur,AR
448,Olive_Colobus,AR
449,Greater_Bamboo_Lemur,AR
450,Silky_Sifaka,AR
451,Coquerel_s_Sifaka,AR
452,Crowned_Sifaka,AR
453,Decken_s_Sifaka,AR
454,Diademed_Sifaka,AR
