,CommonName,HomeRange_ha
289,Peruvian_Yellow_tailed_Woolly_Monkey,114.5
290,Humboldt_s_Woolly_Monkey,440.0
293,Poeppig_s_Woolly_Monkey,116.0
295,Colombian_Woolly_Monkey,
296,Ring_tailed_Lemur,25.5
298,Cruz_Limas_Saddle_back_Tamarin,
299,Spix_s_Saddle_back_Tamarin,145.0
304,Lesson_s_Saddle_back_Tamarin,
305,Illiger_s_Saddle_back_Tamarin,16.1
306,Red_mantled_Saddle_back_Tamarin,
307,Andean_Saddle_back_Tamarin,
308,Black_mantled_tamarin,49.0
309,Geoffroy_s_Saddle_back_Tamarin,40.0
310,Golden_mantled_Saddle_back_Tamarin,18.5
311,Weddells_Saddle_back_Tamarin,30.0
313,Black_faced_Lion_Tamarin,345.0
314,Golden_headed_Lion_Tamarin,125.1
317,Black_Lion_Tamarin,138.0
320,Golden_Lion_Tamarin,147.0
322,Antafia_Sportive_Lemur,
323,Tsiombikibo_Sportive_Lemur,
324,Ankarana_Sportive_Lemur,1.0
326,Betsileo_Sportive_Lemur,
327,Gray_s_Sportive_Lemur,
328,Milne_Edwards_s_Sportive_Lemur,1.09
329,Andohahela_Sportive_Lemur,5.16
330,Anjiamangirana_Sportive_Lemur,
331,Mananara_Nord_Sportive_Lemur,
332,Zombitse_Sportive_Lemur,
333,Manombo_Sportive_Lemur,
334,White_footed_Sportive_Lemur,0.5
335,Small_toothed_Sportive_Lemur,0.5
336,Daraina_Sportive_Lemur,
337,Mittermeier_s_Sportive_Lemur,3.6
338,Weasel_Sportive_Lemur,0.3
340,Ambodimahabibo_Sportive_Lemur,
341,Petter_s_Sportive_Lemur,0.3
342,Bemaraha_Sportive_Lemur,
343,Red_tailed_Sportive_Lemur,0.8
