,Scientific Names,CommonName,Region,Country,Average_Weight,DielActivity,Locomotion,Status,HomeRange_ha,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert,TrophicGuild,Fruit,Leaves,Flowers,Seeds,Gums,Nectar,Animal,Insects,Other
96,Callitrichidae Saguinus,Geoffroy s Tamarin,Central America,Panama,0.49,D,AR,0,34.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
97,Callitrichidae Callithrix,Geoffroy s Tufted ear Marmoset,South America,Brazil,0.24,D,AR,0,23.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Gummivore,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
98,Cercopithecidae Trachypithecus,Germain s Langur,South East Asia,Thailand,8.83,D,AR,3,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Callitrichidae Callimico,Goeldi s Monkey*,South America,Bolivia,0.48,D,AR,2,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
100,Lemuridae Hapalemur,Golden Bamboo Lemur,Madagascar,Madagascar,1.45,D,AR,4,26.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
101,Cercopithecidae Trachypithecus,Golden Langur,South East Asia,India,10.15,D,AR,3,375.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
102,Callitrichidae Leontopithecus,Golden Lion Tamarin,South America,Brazil,0.64,D,AR,3,147.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
103,Cercopithecidae Rhinopithecus,Golden Snub nosed Monkey,East Asia,China,14.75,D,BOTH,3,1830.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
104,Cebidae Saimiri,Golden backed Squirrel Monkey,South America,Brazil,0.86,D,AR,1,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Cheirogaleidae Microcebus,Golden brown Mouse Lemur,Madagascar,Madagascar,0.05,N,AR,3,0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
106,Pitheciidae Pithecia,Golden faced Saki,South America,Brazil,1.9,D,AR,0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Callitrichidae Leontopithecus,Golden headed Lion Tamarin,South America,Peru,0.58,D,AR,3,125.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
108,Callitrichidae Leontocebus,Golden mantled Saddle back Tamarin,South America,Peru,0.4,D,AR,1,18.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Omnivore,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
109,Cheirogaleidae Microcebus,Goodman s Mouse Lemur,Madagascar,Madagascar,0.045,N,AR,2,0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Lemuridae Hapalemur,Gray Bamboo Lemur,Madagascar,Madagascar,0.8233333333333333,D,AR,2,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
111,Cheirogaleidae Microcebus,Gray Mouse Lemur,Madagascar,Madagascar,0.06,N,AR,0,1.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Gummivore,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
112,Lorisidae Loris,Gray Slender Loris,South East Asia,India,0.27,N,BOTH & AR,0,27.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Insectivore,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
113,Atelidae Lagothrix,Gray Woolly Monkey,South America,Brazil,8.31,D,AR,3,1021.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Cheirogaleidae Microcebus,Gray brown Mouse Lemur,Madagascar,Madagascar,0.05,N,AR,0,0.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Cercopithecidae Lophocebus,Gray cheeked Mangabey,Central Africa,Uganda,6.95,D,AR,0,167.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Pitheciidae Pithecia,Gray s Bald faced Saki,South America,Colombia,2.16,D,AR,0,35.9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Lemuridae Prolemur,Greater Bamboo Lemur,Madagascar,Madagascar,2.24,CA,AR,4,40.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Cheirogaleidae Cheirogaleus,Greater Dwarf Lemur,Madagascar,Madagascar,0.51,N,AR,3,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Cercopithecidae Chlorocebus,Green Monkey,North West Africa,Senegal,4.3,D,T,0,160.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
120,Cercopithecidae Pygathrix,Grey shanked Douc,South East Asia,Vietnam,9.98,D,AR,4,984.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Cercopithecidae Chlorocebus,Grivet Monkey,East Africa,Ethiopia,4.65,D,T,0,54.30400000000001,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
122,Cercopithecidae Colobus,Guereza,North West Africa,Cameroon,8.89,D,AR,0,15.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
123,Pitheciidae Chiropotes,Guianan Beared Saki,South America,Brazil,3.0,D,AR,5,507.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
124,Cebidae Sapajus,Guianan Brown Capuchin,South America,Venezuela,3.01,D,AR,0,355.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
125,Atelidae Alouatta,Guianan Red Howler,South America,Brazil,6.37,D,AR,0,45.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
126,Cebidae Saimiri,Guianan Squirrel Monkey,Central America,Surinam,0.82,D,AR,0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Cebidae Cebus,Guianan Weeper Capuchin,South America,Colombia,2.88,D,AR,0,257.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
128,Cercopithecidae Papio,Guinea Baboon,North West Africa,Senegal,17.5,D,BOTH & T,1,3250.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
