CommonName,Status,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert,Average_Weight
Aye_aye,EN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.56
Patas_Monkey,LC,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.45
Heuglin's_Patas_Monkey,Unrated,,,,,,,,
White_fronted_Brown_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18
White_collared_Brown_Lemur,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16
Red_collared_Brown_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14
Crowned_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65
Blue_eyed_Black_Lemur,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82
Brown_Lemur,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05
Black_Lemur,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.063333333333333
Mongoose_Lemur,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48
Red_bellied_Lemur,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015
Red_fronted_Brown_Lemur,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21
Rufous_Brown_Lemur,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0100000000000002
Sanford_s_Brown_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85
Southern_Needle_clawed_Galago,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
Northern_Needle_clawed_Galago,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253
Somali_Lesser_Galago,LC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
Spectacled_Lesser_Galago,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
Southern_Lesser_Galago,LC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
Northern_Lesser_Galago,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25
Kenya_Coast_Dwarf_Galago,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
Demidoff_s_Dwarf_Galago,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
Mozambique_Dwarf_Galago,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134
Mountain_Dwarf_Galago,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Rondo_Dwarf_Galago,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675
Angolan_Dwarf_Galago,Unrated,,,,,,,,
Thomas_s_Dwarf_Galago,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
Tanzania_Coast_Dwarf_Galago,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
Eastern_Gorilla,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0
Western_Gorilla,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,122.5
Lac_Alaotra_Bamboo_Lemur,CR,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.24
Golden_Bamboo_Lemur,CR,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.45
Gray_Bamboo_Lemur,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8233333333333333
Southern_Bamboo_Lemur,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07
Northern_Bamboo_Lemur,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013
Western_Hoolock_Gibbon,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88
Eastern_Hoolock_Gibbon,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
Skywalker_Hoolock_Gibbon,Unrated,,,,,,,,
Abbott_s_Gray_Gibbon,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95
Agile_Gibbon,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Bornean_White_bearded_Gibbon,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95
East_Bornean_Gray_Gibbon,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
Kloss_s_Gibbon,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8
Lar_Gibbon,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.64
Moloch_Gibbon,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.42
MÃ¼ller_s_Gibbon,EN,,,,,,,,5.35
Pileated_Gibbon,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47
Indri,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34
Gray_Woolly_Monkey,EN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.31
Peruvian_Yellow_tailed_Woolly_Monkey,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25
Humboldt_s_Woolly_Monkey,VU,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.15
Colombian_Woolly_Monkey,CR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87
Poeppig_s_Woolly_Monkey,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25
Ring_tailed_Lemur,EN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.21
Cruz_LimaÂs_Saddle_back_Tamarin,LC,,,,,,,,
Spix_s_Saddle_back_Tamarin,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33
Lesson_s_Saddle_back_Tamarin,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
Illiger_s_Saddle_back_Tamarin,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
Red_mantled_Saddle_back_Tamarin,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
Andean_Saddle_back_Tamarin,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
Black_mantled_tamarin,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.48
Geoffroy_s_Saddle_back_Tamarin,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
