,Family,Genus,CommonName,Locomotion
276,Cercopithecidae,Macaca,Siberut_Macaque,AR
277,Cercopithecidae,Macaca,Lion_tailed_Macaque,AR
278,Cercopithecidae,Macaca,Toque_Macaque,AR
279,Cercopithecidae,Macaca,Barbary_Macaque,BOTH
280,Cercopithecidae,Macaca,Barbary_Macaque,T
281,Cercopithecidae,Macaca,Tibetan_Macaque,T
282,Cercopithecidae,Macaca,Tonkean_Macaque,BOTH
283,Cercopithecidae,Macaca,Tonkean_Macaque,AR
284,Cercopithecidae,Mandrillus,Drill,BOTH
285,Cercopithecidae,Mandrillus,Mandrill,T
286,Callitrichidae,Mico,Rio_Acarí_Marmoset,AR
287,Callitrichidae,Mico,Silvery_Marmoset,AR
288,Callitrichidae,Mico,Golden_white_Tassel_ear_Marmoset,AR
289,Callitrichidae,Mico,Snethlage_s_Marmoset,AR
290,Callitrichidae,Mico,Santarém_Marmoset,AR
291,Callitrichidae,Mico,Black_crowned_Dwarf_Marmoset,
292,Callitrichidae,Mico,Rio_Aripuanã_Marmoset,AR
293,Callitrichidae,Mico,Golden_white_Bare_ear_Marmoset,AR
294,Callitrichidae,Mico,Marca_s_Marmoset,AR
295,Callitrichidae,Mico,Maués_Marmoset,AR
296,Callitrichidae,Mico,Black_tailed_Marmoset,AR
297,Callitrichidae,Mico,Black_headed_Marmoset,AR
298,Callitrichidae,Mico,Rondon_s_Marmoset,AR
299,Callitrichidae,Mico,Sateré_Marmoset,AR
300,Cheirogaleidae,Microcebus,Montagne_d_Ambre_Mouse_Lemur,AR
301,Cheirogaleidae,Microcebus,Madame_Berthe_s_Mouse_Lemur,AR
302,Cheirogaleidae,Microcebus,Bongolava_Mouse_Lemur,AR
303,Cheirogaleidae,Microcebus, Nosy_Boraha_Mouse_Lemur,
304,Cheirogaleidae,Microcebus,Ambarijeby_Mouse_Lemur,AR
305,Cheirogaleidae,Microcebus,Ganzhorn's_Mouse_Lemur,
306,Cheirogaleidae,Microcebus,Gerp_s_Mouse_Lemur,AR
307,Cheirogaleidae,Microcebus,Gray_brown_Mouse_Lemur,AR
308,Cheirogaleidae,Microcebus,Jolly_s_Mouse_Lemur,AR
309,Cheirogaleidae,Microcebus,Goodman_s_Mouse_Lemur,AR
310,Cheirogaleidae,Microcebus,Anjiahely_Mouse_Lemur,AR
311,Cheirogaleidae,Microcebus,Nosy_Be_Mouse_Lemur,AR
312,Cheirogaleidae,Microcebus,Bemanasy_Mouse_Lemur,
313,Cheirogaleidae,Microcebus,Margot_Marsh_s_Mouse_Lemur,AR
314,Cheirogaleidae,Microcebus,Marohita_Mouse_Lemur,
315,Cheirogaleidae,Microcebus,Mittermeier_s_Mouse_Lemur,AR
316,Cheirogaleidae,Microcebus,Gray_Mouse_Lemur,AR
317,Cheirogaleidae,Microcebus,Peters_s_Mouse_Lemur,AR
318,Cheirogaleidae,Microcebus,Golden_brown_Mouse_Lemur,AR
319,Cheirogaleidae,Microcebus,Rufous_Mouse_Lemur,AR
320,Cheirogaleidae,Microcebus,Sambirano_Mouse_Lemur,AR
321,Cheirogaleidae,Microcebus,Simmons_s_Mouse_Lemur,AR
322,Cheirogaleidae,Microcebus,Anosi_Mouse_lemur,
