,Family,Genus,CommonName,Average_Weight
257,Callitrichidae,Leontocebus,Geoffroy_s_Saddle_back_Tamarin,0.36
258,Callitrichidae,Leontocebus,Golden_mantled_Saddle_back_Tamarin,0.4
259,Callitrichidae,Leontocebus,Weddells_Saddle_back_Tamarin,0.36
260,Callitrichidae,Leontopithecus,Black_faced_Lion_Tamarin,0.58
261,Callitrichidae,Leontopithecus,Golden_headed_Lion_Tamarin,0.58
262,Callitrichidae,Leontopithecus,Black_Lion_Tamarin,0.615
263,Callitrichidae,Leontopithecus,Golden_Lion_Tamarin,0.64
264,Lepilemuridae,Lepilemur,Antafia_Sportive_Lemur,0.89
265,Lepilemuridae,Lepilemur,Antafia_Sportive_Lemur,0.83
266,Lepilemuridae,Lepilemur,Tsiombikibo_Sportive_Lemur,0.61
267,Lepilemuridae,Lepilemur,Tsiombikibo_Sportive_Lemur,0.58
268,Lepilemuridae,Lepilemur,Ankarana_Sportive_Lemur,0.77
269,Lepilemuridae,Lepilemur,Ankarana_Sportive_Lemur,0.75
270,Lepilemuridae,Lepilemur,Betsileo_Sportive_Lemur,1.15
271,Lepilemuridae,Lepilemur,Betsileo_Sportive_Lemur,1.13
272,Lepilemuridae,Lepilemur,Gray_s_Sportive_Lemur,0.87
273,Lepilemuridae,Lepilemur,Gray_s_Sportive_Lemur,0.72
274,Lepilemuridae,Lepilemur,Milne_Edwards_s_Sportive_Lemur,0.93
275,Lepilemuridae,Lepilemur,Milne_Edwards_s_Sportive_Lemur,1.02
276,Lepilemuridae,Lepilemur,Andohahela_Sportive_Lemur,0.89
277,Lepilemuridae,Lepilemur,Anjiamangirana_Sportive_Lemur,0.78
278,Lepilemuridae,Lepilemur,Anjiamangirana_Sportive_Lemur,0.86
279,Lepilemuridae,Lepilemur,Mananara_Nord_Sportive_Lemur,1.0
280,Lepilemuridae,Lepilemur,Zombitse_Sportive_Lemur,0.99
281,Lepilemuridae,Lepilemur,Manombo_Sportive_Lemur,0.78
282,Lepilemuridae,Lepilemur,Manombo_Sportive_Lemur,0.87
283,Lepilemuridae,Lepilemur,White_footed_Sportive_Lemur,0.61
284,Lepilemuridae,Lepilemur,White_footed_Sportive_Lemur,0.56
285,Lepilemuridae,Lepilemur,Small_toothed_Sportive_Lemur,0.97
