,Family,Genus,CommonName,Territory (ha)
225,Lemuridae,Eulemur,Brown_Lemur,5.0
226,Lemuridae,Eulemur,Black_Lemur,19.1
227,Lemuridae,Eulemur,Black_Lemur,3.0
228,Lemuridae,Eulemur,Mongoose_Lemur,2.85
229,Lemuridae,Eulemur,Mongoose_Lemur,5.0
230,Lemuridae,Eulemur,Red_bellied_Lemur,16.0
232,Lemuridae,Eulemur,Red_fronted_Brown_Lemur,22.06
233,Lemuridae,Eulemur,Red_fronted_Brown_Lemur,84.37
234,Lemuridae,Eulemur,Rufous_Brown_Lemur,97.5
235,Lemuridae,Eulemur,Rufous_Brown_Lemur,5.0
236,Lemuridae,Eulemur,Sanford_s_Brown_Lemur,14.0
237,Lemuridae,Eulemur,Sanford_s_Brown_Lemur,7.0
238,Galagidae,Euoticus,Southern_Needle_clawed_Galago,6.7
239,Galagidae,Euoticus,Northern_Needle_clawed_Galago,2.5
240,Galagidae,Galago,Somali_Lesser_Galago,2.0
241,Galagidae,Galago,Spectacled_Lesser_Galago,
242,Galagidae,Galago,Southern_Lesser_Galago,6.0
244,Galagidae,Galago,Northern_Lesser_Galago,8.0
247,Galagidae,Galagoides,Kenya_Coast_Dwarf_Galago,1.95
248,Galagidae,Galagoides,Demidoff_s_Dwarf_Galago,1.6
249,Galagidae,Galagoides,Angolan_Dwarf_Galago,
250,Galagidae,Galagoides,Mozambique_Dwarf_Galago,2.5
252,Galagidae,Galagoides,Rondo_Dwarf_Galago,
253,Galagidae,Galagoides,Thomas_s_Dwarf_Galago,1.6
254,Galagidae,Galagoides,Tanzania_Coast_Dwarf_Galago,2.0
256,Hominidae,Gorilla,Eastern_Gorilla,3060.0
257,Hominidae,Gorilla,Western_Gorilla,1296.0
260,Lemuridae,Hapalemur,Lac_Alaotra_Bamboo_Lemur,3.0
262,Lemuridae,Hapalemur,Golden_Bamboo_Lemur,26.0
263,Lemuridae,Hapalemur,Gray_Bamboo_Lemur,20.0
264,Lemuridae,Hapalemur,Gray_Bamboo_Lemur,15.0
265,Lemuridae,Hapalemur,Southern_Bamboo_Lemur,13.27
266,Lemuridae,Hapalemur,Northern_Bamboo_Lemur,26.0
267,Hylobatidae,Hoolock,Western_Hoolock_Gibbon,22.5
268,Hylobatidae,Hoolock,Western_Hoolock_Gibbon,300.0
269,Hylobatidae,Hoolock,Eastern_Hoolock_Gibbon,107.0
271,Hylobatidae,Hoolock,Skywalker_Hoolock_Gibbon,
272,Hylobatidae,Hylobates,Abbott_s_Gray_Gibbon,
273,Hylobatidae,Hylobates,Agile_Gibbon,29.0
274,Hylobatidae,Hylobates,Bornean_White_bearded_Gibbon,53.0
275,Hylobatidae,Hylobates,Bornean_White_bearded_Gibbon,26.0
276,Hylobatidae,Hylobates,East_Bornean_Gray_Gibbon,38.0
277,Hylobatidae,Hylobates,Kloss_s_Gibbon,33.3
278,Hylobatidae,Hylobates,Lar_Gibbon,39.0
281,Hylobatidae,Hylobates,Moloch_Gibbon,17.0
282,Hylobatidae,Hylobates,Müller_s_Gibbon,45.0
284,Hylobatidae,Hylobates,Pileated_Gibbon,36.0
285,Indriidae,Indri,Indri,15.0
287,Atelidae,Lagothrix,Gray_Woolly_Monkey,1021.0
288,Atelidae,Lagothrix,Gray_Woolly_Monkey,1200.0
289,Atelidae,Lagothrix,Peruvian_Yellow_tailed_Woolly_Monkey,114.5
290,Atelidae,Lagothrix,Humboldt_s_Woolly_Monkey,465.0
293,Atelidae,Lagothrix,Poeppig_s_Woolly_Monkey,116.0
294,Atelidae,Lagothrix,Poeppig_s_Woolly_Monkey,350.0
295,Atelidae,Lagotrix,Colombian_Woolly_Monkey,
296,Lemuridae,Lemur,Ring_tailed_Lemur,25.5
297,Lemuridae,Lemur,Ring_tailed_Lemur,5.7
298,Callitrichidae,Leontocebus,Cruz_Limas_Saddle_back_Tamarin,
299,Callitrichidae,Leontocebus,Spix_s_Saddle_back_Tamarin,78.0
