;CommonName;TrophicGuild;Fruit;Leaves;Flowers;Seeds;Animal;Gums;Nectar;Other;Country
232;Black_faced_Lion_Tamarin;Frugivore;74.52;NI;1;NI;21;NI;1;2.48;NI
233;Golden_headed_Lion_Tamarin;Omnivore;35;NI;NI;NI;64;1;NI;NI;NI
234;Black_Lion_Tamarin;Frugivore;73.4;NI;NI;0.2;10.1;15.2;1.1;NI;Brazil
236;Golden_Lion_Tamarin;Frugivore;79.6;NI;5;NI;15.4;NI;NI;NI;Brazil
237;Antafia_Sportive_Lemur;Folivore;1;1;1;;;;1;;Madagascar
238;Tsiombikibo_Sportive_Lemur;Folivore;1;1;1;;;;1;;Madagascar
239;Ankarana_Sportive_Lemur;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
240;Betsileo_Sportive_Lemur;Folivore;1;1;1;;;;1;;Madagascar
241;Gray_s_Sportive_Lemur;Folivore;1;1;1;;;;1;;Madagascar
242;Milne_Edwards_s_Sportive_Lemur;Folivore;0.3;74.4;5.2;NI;NI;NI;NI;20.1;Madagascar
243;Andohahela_Sportive_Lemur;Folivore;1;;1;;;;1;;Madagascar
244;Anjiamangirana_Sportive_Lemur;Folivore;1;1;1;;;;1;;Madagascar
245;Mananara_Nord_Sportive_Lemur;Folivore;1;1;1;;;;1;;Madagascar
246;Zombitse_Sportive_Lemur;Folivore;1;1;1;;;;1;;Madagascar
247;Manombo_Sportive_Lemur;Folivore;1;1;1;;;;1;;Madagascar
248;White_footed_Sportive_Lemur;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
249;Small_toothed_Sportive_Lemur;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
250;Daraina_Sportive_Lemur;Folivore;1;1;1;;;;1;;Madagascar
251;Mittermeier_s_Sportive_Lemur;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
252;Weasel_Sportive_Lemur;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
254;Ambodimahabibo_Sportive_Lemur;Folivore;1;1;1;;;;1;;Madagascar
255;Petter_s_Sportive_Lemur;Folivore;NI;90;10;NI;NI;NI;NI;NI;Madagascar
256;Bemaraha_Sportive_Lemur;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
257;Red_tailed_Sportive_Lemur;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
258;Sahamalaza_Sportive_Lemur;Folivore;0.43;99;NI;NI;NI;NI;NI;0.57;Madagascar
259;Masoala_Sportive_Lemur;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
260;Seal_s_Sportive_Lemur;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
261;Sahafary_Sportive_Lemur;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
262;Nosy_Be_Sportive_Lemur;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
263;Wright_s_Sportive_Lemur;Folivore;NI;99.5;NI;NI;NI;NI;NI;NI;NI
264;Gray_cheeked_Mangabey;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
265;Northern_Black_Crested_Mangabey;Frugivore;56.7;3.3;4.2;30.5;1.6;NI;NI;NI;Zaire
266;Johnston_s_Mangabey;Frugivore;1;1;;1;;1;;;Congo
267;Southern_Back_Crested_Mangabey;Frugivore;1;1;;1;;1;;;Congo
268;Rusty_mantled_Mangabey;Frugivore;1;1;;;1;1;;;Nigeria
269;Ugandan_Crested_Mangabey;Folivore_frugivore;35-78;02-oct;1.0-8;NI;0-9;NI;NI;NI;Uganda
