,Family,Genus,CommonName,Diet
209,Hylobatidae,Hylobates,Müller_s_Gibbon,Frugivore
210,Hylobatidae,Hylobates,Pileated_Gibbon,Frugivore
211,Indriidae,Indri,Indri,Folivore
212,Atelidae,Lagothrix,Gray_Woolly_Monkey,Frugivore
213,Atelidae,Lagothrix,Peruvian_Yellow_tailed_Woolly_Monkey,Frugivore
214,Atelidae,Lagothrix,Humboldt_s_Woolly_Monkey,Frugivore
215,Atelidae,Lagotrix,Colombian_Woolly_Monkey,
216,Atelidae,Lagothrix,Poeppig_s_Woolly_Monkey,Frugivore
217,Lemuridae,Lemur,Ring_tailed_Lemur,Folivore_frugivore
218,Callitrichidae,Leontocebus,Cruz_Limas_Saddle_back_Tamarin,
219,Callitrichidae,Leontocebus,Spix_s_Saddle_back_Tamarin,Omnivore
220,Callitrichidae,Leontocebus,Spix_s_Saddle_back_Tamarin,Omnivore
221,Callitrichidae,Leontocebus,Spix_s_Saddle_back_Tamarin,Frugivore
222,Callitrichidae,Leontocebus,Lesson_s_Saddle_back_Tamarin,Omnivore
223,Callitrichidae,Leontocebus,Illiger_s_Saddle_back_Tamarin,Omnivore
224,Callitrichidae,Leontocebus,Red_mantled_Saddle_back_Tamarin,Omnivore
225,Callitrichidae,Leontocebus,Andean_Saddle_back_Tamarin,Omnivore
226,Callitrichidae,Leontocebus,Black_mantled_tamarin,Omnivore
227,Callitrichidae,Leontocebus,Geoffroy_s_Saddle_back_Tamarin,Omnivore
228,Callitrichidae,Leontocebus,Golden_mantled_Saddle_back_Tamarin,Omnivore
229,Callitrichidae,Leontocebus,Weddells_Saddle_back_Tamarin,Frugivore
230,Callitrichidae,Leontocebus,Weddells_Saddle_back_Tamarin,Omnivore
231,Callitrichidae,Leontocebus,Weddells_Saddle_back_Tamarin,Omnivore
232,Callitrichidae,Leontopithecus,Black_faced_Lion_Tamarin,Frugivore
233,Callitrichidae,Leontopithecus,Golden_headed_Lion_Tamarin,Omnivore
234,Callitrichidae,Leontopithecus,Black_Lion_Tamarin,Frugivore
235,Callitrichidae,Leontopithecus,Golden_Lion_Tamarin,Frugivore
236,Callitrichidae,Leontopithecus,Golden_Lion_Tamarin,Frugivore
237,Lepilemuridae,Lepilemur,Antafia_Sportive_Lemur,
238,Lepilemuridae,Lepilemur,Tsiombikibo_Sportive_Lemur,
239,Lepilemuridae,Lepilemur,Ankarana_Sportive_Lemur,Folivore_frugivore
240,Lepilemuridae,Lepilemur,Betsileo_Sportive_Lemur,
241,Lepilemuridae,Lepilemur,Gray_s_Sportive_Lemur,Folivore
242,Lepilemuridae,Lepilemur,Milne_Edwards_s_Sportive_Lemur,Folivore
243,Lepilemuridae,Lepilemur,Andohahela_Sportive_Lemur,
